content,score
Google play will continue to charge you even after a cancelled membership remember to cancel your subscription in Google play as well. Smh just had the worst customer service call with Amazon rep an I deeply appreciate how sweet he was with me because I was upset. I however love the Amazon prime membership it's faster delivery and you save money they find you better deals.,5
Nive,5
Always great,5
Awesome,5
worst experience ever,1
"Easy"","" fast and wonderful prices and if you need to return something is easy as well"","" AMAZON IS THE BEST",5
You Need To Add a sort option where you can sort your cart by price low to high or high to low.,4
Being housebound means that I am dependent on online shopping.Amazon are and have been a lifeline for me. So thank you Amazon,5
Whats with the whole food returns and now you want to charge me $1 for ups return even when its your fault. I'm a paying prime customer and should be able to return a damaged item at no cost to myself as I do not have a whole foods near. So I guess I need to cancel services with amazon and go buy my stuff somewhere else. Not going to be a paying customer of amazon if I gotta keep paying for returns that are not my fault too many items coming damaged latley.,1
"OK app for shopping UNTIL AMAZON MAKES A MISTAKE & SOMETHING GOES WRONG. Amazon moved back our delivery date. I saw the problem coming. I called and tried to explain we will have started our vacation by the new delivery date. (There have been a lot of package thefts in our area.) On Days 1 - 4 three different Amazon reps did not give a damn"","" flat out lied"","" and said there was nothing they could do. On Day 5 a helpful rep who gave a damn entered a Stop and Return Request. Praying that works🙏🙏🙏",1
Best app,5
Excellent service,5
love the fast free shipping?,5
Amazing caring love you,1
"No Dark Mode Option On This App"","" What A Joke. We Have To Go On Google With Forced Dark Mode To Use Amazon Shopping!!!",1
"Amazon sucks"","" they can't even deliver a package on time"","" or at all. They said my package was delivered but it's not"","" now they won't admit they lost my packages. NO MORE AMAZON FOR ME.",1
"Bad ui"","" slow respond",2
too many feedback requests,3
don't need this app,1
because there is a minimum amount for same day delivery for prime members or pay $2.99 . not right,2
"RUFUS AI.... PRIVACY INVASION!!! HOPE AMAZON HAS BILLIONS FOR CLASS ACTION DEFENSE. IN ADDITION"","" IT DOESN'T EVEN WORK...LOL. WORST IDEA EVER... MFGDPOS!!!! GET IT OUT OF APP!!!!",1
Great,5
"I enjoy shopping with Amazon! it's easy"","" convenient"","" excellent prices for quality products and if you are not satisfied they give you ample time to return your merchandise in good order. They also have great customer service"","" weather you speak to someone in person"","" through their chat option or digital media.",5
"It is impossible to contact support. They have recently canceled my account event"","" though I was able to provide the submission and added a side comment for clarification on the card I was using. I've tried to find a link to consumer support. I found some ways to contact them"","" but they just will close the accounts. Please tell me how I can open back up my accounts because I spent most of my time trying to contact yall"","" but instead of closing my account.",1
cool app,5
fab.u.lous!!!!,5
"I have never had a problem with the app? It is strange that"","" soon as you want to spend money computers work fine and dandy.",5
Great experience,2
Love my Amazon app. Best shopping app on the market.,5
I can get virtually anything I need at Amazon within 24hrs or a few days,5
It's 2024 and Amazon being the biggest online retailer still can't figure out dark mode,1
Excellent,5
Now that you can't buy music or books in the apps there isn't a reason to use the app.,2
Boycott,1
Rufus needs to go....so annoying.,4
"Stop saying it's out for delivery if it's not actually out for delivery. Clean up the mess of a user interface. Get rid of the hordes of knock-off garbage. Make the search function actually work"","" or stop calling it a search function",1
"Aftwr ~1 year usage"","" Great customer support",5
Very difficult to find place where to change country and language when once automatically change from default to something else when clicking weblink. If i want to change from USA back to German Amazon. Finally find it from person tab top right flag picture.,1
New AI (Rufus) is incredibly obnoxious and buggy. Either polish it or get rid of it. Don't force half baked AI into everything just to keep up with the other corpos,1
Kept going to Amazon us despite wanting to use Amazon sg. No way to switch it back to Amazon sg,2
"App is very buggy"","" and lists third party sellers from China before legitimate products. Basically more expensive Temu at this point. I'd definitely recommend training your AI better and becoming more restrictive on what content you allow to be sold on your marketplace.",3
"Good app with a smooth flow. I'm kinda online shopoholic so I'm a regular shopper at the app. I've not found many challenges but only one"","" hard to find a way to contact a customer service rep.",5
"Worst customer service Products get updated as delivered without actual delivery"","" and worst customer service.",1
I cant even use a gift card to purchase anything without it telling me I don't have enough when im making a $20 purchase with $100,1
This app has become all but unusable with RUFUS added. No option to out out very intrusive AI chatbot pops up every single time i go to an items store page i have to close it every time if i accidentally click near the bottom of page it pops back up again it's the most annoying thing ever. I'm uninstalling until i hear about Rufus has been removed,1
I love it,5
"Now amazon customer service so bad "","" really hard to contact them and they never answer you back. I am so regret to order a lot from them. We should go to the store to support not amazon",1
Works fine. Easy to use layout of store. Makes me spend lots. :),5
Pushing back the date on an item I paid to get early is just unacceptable,1
"I don't know why you feel it's necessary to HAVE USPS smash my daughter prom dress in the mailbox but when this white Karen across the street order packages smaller than ours she get a respected door delivery. Not my fault my children are not ivf babies and she mad now stalking my delivery and purchases over here on the Southside of lansing"","" michigan. Maybe if they stop worrying about my ""black"" culture purchase which is purchased with my money things will be okay. Stop leaking information. TF",1
"Sudden 33% Prime Subscription Increase is very harsh in this economy"","" while Amazon are making outlandish profit. Usually good service and customer resolutions. I don't agree with billionaires existing"","" or unethical working conditions. There should be profit limits so the money goes back into society and the environment This app also needs dark mode. And the Prime video menu is slow and clunky.",2
Great..,5
"Estimate 60% orders not delivered"","" indicated it was refunded"","" only 1 order was refunded.",3
F your ads,1
When I ordered a drone they sent me mason jar sealer. Took to long to get another label just to end up shipping it back. Hope they don't mess up on the same order twice.,2
awesome,5
Keeps saying internal error,1
"I love Amazon I buy anything from Amazon I know they will have it. It beats shopping at a store sometime they might have it"",""but then they might not. Amazon a good company",5
Keeps crashing. EVERYTIME I use it,1
Not a safe place to purchase discount trading card boxes. The site is filled with scammers. Be careful. All I'm saying. Customer service is subpar to say the least.,1
No theming hurts my eyes. Blaring white screen is burning my retinas. There used to be a dark option. Even eBay has theming. App is functional but now it's annoying.,1
"1. Primary address should ALWAYS be default. Selecting another address for an order"","" should NOT make it the default on the next purchase. This mistake on a same day delivery means cancelation is unlikely to happen. Now I have stuff headed to a hotel I stayed in last week 🤨 2. Grouping orders by shipping date within the order makes it hard to edit a large order"","" they dont alway ship together anyway"","" so... Orders should groupBy order_id. A 'Purchases' page could groupBy delivery_date",2
Boycott,1
I am not able to create account on amazon this is ridiculous what do you mean Pakistani people are not able to create account on Amazon,1
"Customer service refuses to fix known wide spread issue. Manager confirmed the issue was known"","" is currently a problem for many people regarding the store card and app functionality. Bad work on this one.",1
Doesn't allow you to delete and automatically opens links to the app instead of in browser,1
Great so far,5
She's Shopping On Amazon because she like buying stuff for me,5
Awsome!!,5
Love amazon. Great products and the customer service is amazing.,5
I hate it,1
"Rating the app and not Amazon itself as a company"","" the combination of long load times and notable severe lag when trying to scroll through photo reviews on a very snappy phone just shows poor optimization and app issues.",2
"This app takes up a chunk of space in my phone that could be utilized for better things. I no longer shop Amazon and one reason is because I am forced to have their app on my phone"","" you cannot remove it and free up space. Amazon is an awful company anyways so no love lost there.",1
I think I like temu better! 1 : Amazon never brought my order and I just feel like it's a scam! Temu never scammed me and always brought my orders! There is a lot of stuff it's not worth but in temu it's worth it! Amazon just haves expensive stuff that's not worth it. I don't like Amazon. I never really receive my orders. And They didn't even return my money!!,1
"When Amazon asks to write a review and you write a sincere one they do not post if the review hurts their sellers"","" this is very bad to convey the bad products to other costumers.",1
Excellent,5
Do not buy amazon gift cards from a store. You are at risk of buying a card that has already been claimed and amazon will do nothing to help you!,2
"The service is very"","" very bad. I contacted the administration several times"","" and no one responded to me despite a wait that lasted two and a half months. But eventually I deleted the app because I no longer trusted Amazon 💔",1
I don't like it.,1
"I really like this shopping app. I have made a lot of purchases on this app. I enjoy the multiple options for purchase. I also really enjoy the Prime option because I can receive items right away"","" which is very convenient.",5
Bad they tacke ages to Dolliver things there bad to shop at do not use this app,1
easy to order,5
boycott,1
Everytime i pre order something they charge me same day and then claim 3 monthe later that they didnt even tho its clear as day on my bank statement... my point is never pre order from Amazon.. they will lie to you and tell you its your fault.. amazon your a con artist.. i wont ever give you another penny and im canceling my card so yall cant get anymore. ..so disappointing.. ive lost all hope in amazon.. there is absolutely no reason to pay for prime when they cant uphold the 2 day delivery,1
love my Amazon,4
"I've been an Amazon customer for years and have been happy until recently. Im Shopping for furniture. Four piece kitchenettes"","" glass top and otherwise and bed frames with headboards etc are *suggested to me and all unavailable and Ill see: ""We're unsure when or if this item will be back in stock"". I hate to look to Temu for anything due to their spyware but it looks like the only option at this point for inexpensive furniture. Please remove old listings Amazon and ill change this.🙏🏾",3
Good,5
"not getting my items when promised"","" or they are damaged in transit and returned before they make it to me??",3
"Three stars removed for one complaint: when the app requires me to verify my checking account"","" changing between apps (to go copy my routing number and account number from my banking app)"","" the Amazon app CLOSES THE SCREEN where the numbers are to be entered"","" so there is NO WAY to copy and paste BOTH numbers into the form. Is this malice on the part of the app team or just stupid?",2
"Why did you remove the ""upload"" button in camera search? How am I supposed to search now without uploading images?",1
Amazingly,5
veri nice,5
Thank you,5
"Although well build and easy to navigate since the up in delivery pricing I've found the site"","" less useful. I can get better quality for a similar price at brick and mortar or ever better priced on temu. I would pick Amazon over Temu but the both run on suffering at this point... Might uninstall a week after this review if I don't find anything I don't absolutely need.",2
good,5
Excellent price range for gifts.,5
Great service,5
Disgraceful how much Prime is monthly now but never the less great online marketplace.,5
so quick and easy,5
Best prices and delivery times,5
good,5
"By far the worst delivery service in Singapore"","" zero integrity",1
Amazon is just fantastic and never had any real issue for all the years ive used them...my only niggle is that recently searching and loading etc has started to show some reduction in speed. But that just made me realise that even superman is vulnerable at times.,5
"Adding items to Basket"","" but when I open the basket"","" it's empty"","" even though it's showing items number at the bottom. ?! I also had to sign in twice for some dumb reason. Literally can't use the app to buy anything when Basket is just always empty while items are allegedly inside. Heh",1
I am so disappointed it's not working what i do i don't know please help me,1
very convenient,5
Two stars. Still no dark mode in the year 2024. It's absolutely ridiculous. ADD DARK MODE.,2
"I did at price comparison with just three items at Walmart and Target Amazon fresh was three to 4 times the price on the same item. Amazon fresh is a rip off"","" as that was my only reason for keeping prime after they added ads to prime video I no longer have any reason to keep Amazon prime and there are overpriced groceries!",1
App goes bananas when you don't have enough bandwidth. Looks like development team doesn't bother to test app with restricted bandwidth,1
Amazon does not refund money please be aware this is a scam app!,1
it doesn't get better than try before buying and if not happy Amazon makes it right. Period and Perfect,5
love it love it love it!!!,5
Good quality items but abit over priced,3
"Customer Service does nothing. I can not order anything for 3 weeks now and they always say ""everything is ok"","" there is no problem"". SCAM!!!!",1
"We love shopping on Amazon"","" fast shipping for the most part"","" convenient and prices are great with excellent customer service.",5
