Response,Codes,physiological/emotional,Vicarious,Mastery,Social Persuasion,Utility Value,Media Triggered,Event Triggered,Intrinsic Value,Intrinsic Value (Astronomy),Attainment Value,Intrinsic Social,Cost (Emotional),Cost (Outside Effort),Cost (Loss),Cost (Task Effort),
"I loved physics in high school because I had an amazing teacher. I continued in college because I like it and was good at it"","" I also had a women professor who was very inspiring.","Vicarious Experience, Intrinsic Value, Mastery Experience ",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
"I initially came into undergrad intending to major in marine biology"","" but I quickly realized that what I most enjoyed in high school was physics. I took both Honors and AP Physics courses in high school and loved the problem-solving aspect of the field.",Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ever since I was a kid"","" I have been very curious about the universe and how everything works. I always loved going to the Planetarium"","" watching science television shows"","" and reading books about science. My dad has always made sure to encourage my love for science and in particular astronomy. I have always wanted to be a physicist"","" but once I entered high school and discovered how much I loved mathematics and physics and excelled at AP Physics"","" I knew that was the job for me.","Intrinsic Value, Media Triggered, Social Persuasion, Mastery Experience",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,
I became a physics major because of my excellent HS teacher and because upon entering college I was unsure what I wanted to do but I had learned that physics was a major that you could apply to almost anything. Later in college I participated in a program to explore teaching and also was an assistant in a teaching lab which has led me to pursue a career as a physics teacher.,"Vicarious Experience, Utility Value, Event Triggered",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,
"I became very interested in astronomy when I was in high school. Though never taken a physics class prior to attending Purdue University"","" I read several books on the string theory"","" the Big Bang"","" and elementary particles that are constituents of the universe. From that point onward"","" I did research on black holes and their characteristics and many other celestial objects. From that"","" I became even more intrigued which motivated me to explore the physics behind them and become a physics major.","Intrinsic Value (Astronomy), Media Triggered",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
"The first time I considered physics was when I found out that my late grandfather had been an engineer for the US Navy. I was 15 at the time"","" and I thought it was really interesting. Back then I wanted to be more like him"","" but I knew I didn`t want to go into engineering specifically"","" so I began looking around and found physics. When I was a senior in high school"","" I took my school`s only physics class and absolutely fell in love. I loved the difficulty of solving a problem"","" and the satisfaction of finally figuring it out. My physics teacher picked up early on that I was interested"","" and he always encouraged me to pursue it further. He never made me feel strange as a woman interested in the subject. When it came time for college applications"","" he made sure that I sat down with him to talk about being a physics major. His encouragement and my own interest are what led me to MTSU. Here"","" I have found professors who are even more encouraging than my high school teacher"","" and their passion for teaching has helped me rediscover my own passion for the subject again and again.","Vicarious Experience, Intrinsic Value, Physiological/Emotional, Social Persuasion",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I had a very passionate high school physics teacher. I already liked to know how things worked"","" and she showed me that by studying physics you can a large amount of the natural phenomenon in the world at the fundamental level. She also lent me a book about the discovery of the Higgs boson that illustrated the amazing working being done if physics right now.","Social Persuasion, Intrinsic Value, Media Triggered, Vicarious Experience",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,
"I never considered physics or anything science related as a profession or major until junior year of high school. I was good at math and science but only stayed in them to prove that I could do that as well as humanities geared subjects. I feel in love with Chemistry and experimentation. Someone told me it was hard but I saw beauty in it. I loved how it described everything around me with such precision on a more fundamental that inspired me where classic mechanics didn`t. I ended up entering college going into Engineering and have worked with physics demos and seen that there is so much I don`t know that I NEED to know. I`ve been influenced greatly by my professors and teachers"","" but it has been their ability to show physics in an involving way that has pulled me in.","Mastery Experience, Intrinsic Value, Vicarious Experience",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
"Since I am majoring in computer science"","" my thought was that I want to do research"","" but I am not sure in what discipline. I have always been fascinated by how things work both mechanically and biologically"","" so when I had the opportunity to take an astronomy course"","" I took it. When talking to my professor"","" my interest in doing research came up and I learned that they do physics research and were in need of a computer scientist. I couldn`t believe my ears"","" it was exactly the kind of experience I was looking for. After working in the lab on a particle physics project"","" I decided to take on a minor in physics. Because of my interest in physics"","" I had already taken all of the general physics and math courses necessary to complete the minor; I only had 3 upper division courses to take"","" so I was excited to get started. In conclusion"","" I kind of fell into my role as a physics lab assistant and minor"","" but I honestly believe I found these opportunities mainly because I was looking for them.","Intrinsic Value, Event Triggered",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
"I took AP physics in high school since I didn`t want to take any of the other science courses"","" and i really enjoyed it. I had a great teacher and by the end of the course I had decided I might want to go into physics in college.I thought I was going to be a computer science major"","" but I was still really interested in physics since special relativity was a really fascinating course"","" in my first semester at Mudd. However"","" I didn`t really like mechanics"","" but it was still cool what I could do with physics.I also took a humanities course spring of freshman year about Nothing"","" and wrote my final essay on nothing from a physics perspective"","" looking at quantum mechanics. It was really interesting"","" and when I took Electromagnetism this fall"","" I realized how interesting physics can be.So"","" I decided to be a physics major.","Physiological/Emotional, Vicarious Experience, Intrinsic Value",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Read pop sci books about quantum mechanics after hearing about the Higgs Boson discovery and wanted to be able to understand more.,Media Triggered,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I am currently a physics/biology major. Initially I was a biology major"","" but after presenting my research at an emerging researchers national scientists conference in Washington"","" D.C."","" a physics professor at my university"","" Dr. Mostafa Dokhanian"","" became interested in my educational pursuits. I was the recipient of the presidential scholarship at my university at that time. I was later selected for a physics internship and did biophysics research. Following that I was selected for a internship at Harvard University where I was introduced to and participated in cutting edge biology research. Because of the need for diversity of knowledge that crosses scientific disciplines that has arisen in the world of science today"","" I am firmly convinced that now it is more important than ever to combine forces across the sciences to address problems that are posed to society today. This summer I was selected for an internship where I participated in physics and material science engineering. I received a travel award and presented two posters at The Botanical Society of America Conference in July"","" where I was also teamed there with my Harvard mentor. I presented one in physics/material science and one in biology. My colleagues and supporters were intrigued and very supportive of my desire to cross and integrate science disciplines. I am very interested in biophysics"","" biomedical engineering and see the necessity of applying all of these sciences in today???s world. In January of last year"","" by physics mentor and friend"","" Dr. Mostafa Dokhanian died at his desk while working on grant proposals to help students. Although I miss him and his encouragement greatly"","" I still seek his vision. He instilled within me the vision to cross science disciplines"","" combining their strengths in order to achieve the ability to help humanity at its greatest needs"","" whatever they could be. I am now on a physics scholarship which will enable me to complete the physics requirements and obtain both degrees simultaneously in May"","" 2016 after which time I intend to go to graduate school and enroll in a doctoral program.","Event Triggered, Mastery Experience, Social Persuasion, Intrinsic Value (Biophysics), Utility Value",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,intrinsic value biophysics
"I took an independent study course on calculus based physics in high school because I really liked physics and math but I never considered it a viable career option (I didn`t have much interest in teaching).It took me until my 4th year of undergrad to consider it an option and even that was pure chance. I had been diagnosed with a learning disability (I prefer the term difference vs. disability) and also found out I had a remarkably high IQ that had been masked by my uncontrolled symptoms. I realized that I wasn`t bad at my major"","" I was bored and uninterested. I knew I needed a change from the major and to get away from large class sizes so I started looking at transferring to a private university. When I took a tour of my current university"","" I thought I wanted to pursue Mechanical or Electrical Engineering but mentioned offhandedly that I was curious about the physics program. His friend was an Engineering Physics major and was able to drop by to talk to me for a few minutes. I also was lucky that the Head of the Physics Department was available to speak with me about it as well and show me the labs. Good thing I ran into them"","" I was immediately hooked and it`s continued to be a great fit ever since.I wouldn`t say it has been the easiest decision but it definitely is the right one. When I first transferred"","" I remember seeing shocked looks on my peers` faces (sometimes my professors` too) when I would get one of the top scores in the class on a big assignment or exam. I don`t know if this is because I am a female"","" that I was new"","" or that I may not come across as very confident. I also feel compelled to downplay my abilities when amongst my peers"","" possibly due to instinctive reaction to fit in or that I don`t want to hurt anyone`s feelings.My professors have definitely been the most motivating/inspiring and supportive for me. They took the time to get to know me and to be patient with my questions"","" both course and career related. They believe in me in a way no one ever really has and it makes me feel confident in my decision"","" like I belong in physics. Several of my physics professors are also women - it has been very nice to have role models that are somewhat like me. Now"","" the biggest question is grad school. I have the talent to go but I`m worried about the amount of interest that would accumulate on my undergraduate loans and my personal life. Industry has its appeal but the difficult part is finding a position challenging and complex enough to keep me interested long term.","Intrinsic Value, Cost (Outside Effort), Vicarious Experience, Social Persuasion, Mastery Experience",0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,
"I had an amazing physics teacher in high school. I took my first physics class during my sophomore year of high school and that`s when I first became interested in physics and science overall. During my senior year I took another physics class to see if physics was something that I was really interested in pursuing. With the support of my high school physics teacher and my peaked interestin physics I decided that I would major in physics once I was accepted into Ohio State. Although physics has been difficult at times during my time at Ohio State"","" I know that this is something that I want to continue working toward especially since there is such a small amount of African American Women in the field.","Vicarious Experience, Social Persuasion, Cost (Task Effort)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,
It has been very pleasant. The physics department at Cal Poly Pomona is very friendly and helpful.,Intrinsic (Social),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"My grandpa was a civil engineer who I always looked up to. I always enjoyed math and I knew I wanted to be an engineer"","" but I didn`t feel prepared for engineering school. I took a liberal arts approach instead"","" focusing on math and physics. Next year"","" I hope to transfer into a civil engineering program and hopefully obtain a BA in physics"","" as well. I should also note that I have not completed courses in Classical Mechanics and Electromagnetism I"","" but I am taking them currently.","Vicarious Experience, Intrinsic Value, Utility Value",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,
"I`ve always known that I wanted to pursue physics"","" but the ACE program at UCSC inspired me to apply for research positions and taught me to have faith in myself. Until I attended ACE I really didn`t think I could do it.",Event Triggered,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
"The inherent coolness of physics and the inspiring and helpful people (teachers"","" professors"","" classmates"","" grad students) I meet along the way","Intrinsic Value, Social Persuasion, Intrinsic (Social)",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
"When compared to most"","" I am a relative new-comer to Physics.I very recently (the summer before my junior year of my undergraduate studies) switched my major of study from Mechanical Engineering to Physics. There were many contributing factors"","" the most prominent of which was a feeling of satisfaction that only comes when doing something that you love absolutely. I knew that I wanted to do physics after taking the first installment of my lower division physics course"","" I spent the next two quarters and summer convincing myself that it was a practical choice. This hesitation was due to misconceptions I had about job prospects after graduation and what career path I wanted to pursue. I eventually decided my love of physics was too strong"","" and outweighed the struggles I may or may not face after obtaining my degree. Later I learned that my worries were essentially for nothing"","" and that there is a wide array of jobs awaiting physics graduates. Every aspect"","" even the trying ones"","" that I???ve experienced in physics has consistently reaffirmed that my decision to switch was an excellent choice.","Physiological/Emotional, Cost (Loss of Valued Alternatives), Intrinsic Value",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
"Throughout middle school and most of high school I had the intention of going to college and majoring in journalism"","" until I began to develop a deep interest in space and space travel. In my high school Calculus class we watched ""Hidden Figures"""","" and it introduced me to the idea of working at NASA in any capacity. I decided to take AP Physics 1 my senior year of high school"","" and I ended up really liking it and being good at it. My mom played a large part in me deciding to major in physics because she encouraged me to enter a field where women are underrepresented"","" and where the subject matter was interesting to me. I chose to major in physics and minor in astronomy with the intention of getting my Ph.D. in astrophysics. My goal is to work at NASA as an astronaut studying dark matter.","Intrinsic Value (Astronomy), Media Triggered, Physiological/Emotional, Mastery Experience, Utility Value, Social Persuasion",1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,
"I took a physical science class in the eighth grade and from that class on I knew I wanted to learn more about physics. I remember learning about acceleration and deceleration and how it affects motion. That was the first time I began to notice those concepts in the real world like when I was in a car I could actually feel the car accelerate and change motion. I decided to take physics both junior year and senior year of high school"","" and that was one of the best decisions I have made because my physics teacher is one of my best friends and the biggest supporter of my education in physics.","Intrinsic Value, Social Persuasion, Vicarious Experience",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"- I wanted to be a pilot; however"","" my eyesight was unacceptable- Since I couldn`t be a pilot"","" I wanted to work on space shuttles.- Thought about going into aerospace engineering - The college I wanted to attend didn`t have that.- So"","" I decided to go into",Utility Value,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
"Physics has always been a challenge for me"","" a big challenge. I feel like that is why I chose it to be my major"","" why I wanted to study it.I took physics in high school and it was the best and worse thing I`ve ever done. It was such challenge"","" the only challenging class I took in high school.My high school physics teacher always said ""Physics is everything. That saying has stuck with me since then.Understanding physics and seeing how it`s happening all around us","Physiological/Emotional, Vicarious Experience",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"After spending time in the professional world"","" I decided to return to school to something challenging and physics was always something that I was interested in. I wanted to understand how the world worked.","Intrinsic Value, Physiological/Emotional",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"My chemistry and physics high school teachers instilled in me a love and passion for science. My curiosity about then world around me drove me to pursue a degree in science at Allegheny College. I originally planned to major in chemistry"","" but after taking introductory physics courses at Allegheny"","" I quickly realized my true interests lie in the fundamental concepts physics so elegantly describe using mathematics. After talking with my professor and some older students in the department"","" I decided to switch my major and am thankful for that decision everyday. Pursuing physics has allowed me to learn and grow more than I ever thought I could.","Social Persuasion, Intrinsic Value, Vicarious Experience",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I had to take a physics course to fulfill a science graduation requirement in high school and then with the persuasion of the entire math and science department at my high school"","" took Calculus based Physics my senior year.  Over the course of the year"","" realized it made a lot of sense and that I wanted to know more about it.  I then had to decide on my college majors and knew I wanted to teach math and one of a handful of other subjects.  I ended up deciding on Physics as my second subject to get licensed in because it fascinated me my last year and there were so many paths to take in college.  Since then"","" I have taken courses that will support me in being a high school physics teacher and have pursued research in high-energy particle physics.","Social Persuasion, Intrinsic Value, Utility Value, Event Triggered",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,
"My mother is a physicist"","" so it`s always been an option I`ve considered. It wasn`t until my really excellent high school physics teacher that I realized I for sure wanted to study/do physics.",Vicarious Experience,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Well"","" I was a graphic designer and didn`t love it anymore while I took a required class called `Visions of the Universe` that blew my mind. It was an astro class and I immediately did research on how to become an astrophysics major"","" shortly after that I changed my major and have loved it ever since.",Intrinsic Value (Astronomy),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"I initially never intended to become a physics major. I had always loved math and wanted to pursue a career that involved using this skill. Physics finally entered my thoughts of a major my sophomore year when I realized that a major in this would greatly help me in my goals of working in engineering. One of my main influences during the way would have to be my mentors in a program we have here at my college called MapCores. This group is for girls going into fields such as Math"","" Computer Science"","" Physics and Engineering. After being around girls with many of the same interests I found out that this is the type of field that I feel like I belong and will thrive in.","Utility Value, Event Triggered, Viarious Experience, Intrinsic (Social)",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,
"Attending a science camp in Barcelona Spain helped expose me to the scientific community"","" whilst presenting the information to my classmates made me realize how this could become a career.","Event Triggered, Utility Value",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
"I attended another university for four years and obtained a degree in Justice Studies. Three-quarters of the way through the program"","" I realized it was not my passion and began looking for other options. Physics"","" specifically astrophysics and astronomy has always appealed to me even without any physics background. I needed a change in my environment"","" so I began researching astrophysics-related majors and came across the Space Physics program at Embry-Riddle. After learning about the program and the university itself"","" I knew I needed to take a chance and follow my passion.",Intrinsic Value (Astronomy),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
The physics department at my college has an amazing sense of community and a commitment to collaborative learning. The biggest reason I have stuck it out so long is the consistent support and understanding we receive from our Professors and the strength I derive from struggling through the hard classes with my peers.,Intrinsic (Social),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"I was 26"","" working as a bartender/server at a country club and realized it might actually be possible for me to go back to school. I`ve always known I wanted more for myself"","" but I was uncertain of what that was exactly. I`ve always been good in math and also drawn to the sciences"","" and one day it just clicked. Physics was what I wanted to do. I made an appointment to speak to a community college since I`d been out of school so long"","" and started my journey. Now"","" I`m at a four year institution and am a junior. I`m studying physics with an emphasis in astronomy and I couldn`t be happier! I finally found my calling.","Mastery Experience, Intrinsic Value, Attainment Value",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,
"I`ve originally wanted to become an astronomer when I was a young girl. I would gather different types of booksconcerning anything about astronomy. I remember I would my constellation book everyday to my high school. When I entered my first year in college"","" I was determined to become more engage in what I`m most passionate of. The first step I`ve done was to major into physics and then joined the physics and astronomy club in my college. So far"","" I have already volunteered two conferences that wereheld in Utah Valley University. The first event I volunteered was called the Four Corners Section of the APS"",""held on October 7th-8th"","" 2014. The second event I volunteered at was called `Empowering Your Tomorrow Boy`s Conference`"","" held on November 8th"","" 2014. Up until now"","" I`ve felt satisfied with the accomplishments I have done up to this point and I plan on graduating with a degree in physics.","Intrinsic Value (Astronomy), Intrinsic (Social), Event Triggered",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,
"I was first exposed to physics in high school and was intrigued by learning about the world around me in such a different way. I graduated with a continued curiosity for how things work and why things are the way that they are"","" and the first college course I wanted to take was Introduction to the Universe. This course sparked an even deeper passion and wonder for physics and studying the processes and happenings in the multiverse.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I had always been interested in physics since I was young"","" and once I started taking physics courses it only solidified that it was something I wanted to pursue.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I took physics my junior year of high school because I didn`t think I`d do well in anatomy. I happened to have a wonderful teacher"",""who really made the material feel real to me"","" and although the subject matter was harder than most of my other classes at the time"","" I really felt that I connected to the material. However"","" I have a much older passion for Religious Studies"","" and didn`t think of physics as my primary major until I got to college and realized how much more work it is than most majors.","Vicarious Experience, Intrinsic Value",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I entered college as an astronomy major"","" and decided several weeks into the semester to declare a second major in physics in order to be seen as more legitimate after graduation.","Intrinsic Value (Astronomy), Utility Value",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
"While I was dual-enrolled at UWG"","" I had to take one more science to get my high school diploma"","" so I took astronomy. I loved coming home every day and telling my mom what I had learned because it was so exciting. From that point on I decided to pursue a physics b.s and continue to graduate school for astrophysics.","Physiological/Emotional, Intrinsic Value (Astronomy)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"I took an honours physics course in 10th grade of High school. The teacher was very mean and made the class an unpleasant experience. However I just really loved the subject despite that and that I wanted to take another Physics course again"","" which I was unable to do in High School. So I decided to take an intro level Physics course in college and decided I wanted to major in it"","" and the physics faculty at my school have been very helpful and supportive of me so far.","Cost (Emotional), Intrinsic Value, Intrinsic (Social)",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
"Ive always had an interest in space/cosmology"","" and wanted to understand on a grand scale how things came to be as they are. I believe people in prominent media such as Neil Degrasse Tyson and Bill Nye were easily accessible to me so they jump-started my passion to purse this field. Along the way"","" reading books and watching sci fi shows (so again largely media) influenced by decision to pursue this path. The motivation my teachers gave me also largely helped push me towards picking physics as well.","Intrinsic Value (Astronomy), Media Triggered, Social Persuasion",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
I have always been curious about outer space and the formation of planets and other extra terrestrial bodies. I began taking prerequisites for a b.s. in geology and realized in a chemistry class that I want to understand more about physics so I found a planetary science program that will allow me to explore both topics further.,Intrinsic Value (Astronomy),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"When I was in 7th grade and was competing in the science olympiad"","" my event was simple machines"","" and hardly a soul in my middle school knew enough about them to teach me or provide any advice. Through perseverance and hard work"","" I won 6th place in the event despite competing alone. Fast forward to 9th and 10th grade"","" I was warned by friends (they were male"","" and I remember two in particular) that physics was difficult and I might not like it. I replied that it seemed like something I might like"","" based on the experiences I had in middle school. I was right"","" eventually???I really did enjoy it! I took both AP Physics B and C in high school; one of the students who warned me about physics was a year older than I"","" and he eventually dropped Physics C because it was too difficult. The other was two years my senior"","" and his warnings to me were about the difficulty of the class. He was working very hard"","" but the subject itself was just very hard"","" he said. I just remember finding my classes very enjoyable. They were at times difficult"","" but never impossibly difficult. I was one of two girls in the class"","" which represented a 100% increase from the previous year. It did make me uncomfortable that the class was so male"","" because many of them had very immature senses of humor"","" and the class was very relaxed"","" so many of them felt comfortable expressing themselves. There were also two people in the class that stood out as high performers; one had ranked internationally in Physics Bowl during his first year of ever taking physics"","" and the other was a year younger than most people in the class but was one of those people that just understood things instantaneously and thus excelled. I always enjoyed physics as a subject"","" but I never thought of myself as particularly talented at physics until I came to college. I discovered"","" to my surprise"","" that there were fewer prodigies than had existed in my high school classroom"","" and I found that most people actually struggled. Many of the engineers in introductory physics courses expressed that they really did not like the subject. I found this surprising. It was a very different shift in dynamics. I eventually involved myself in research with a professor in the ECE department. Her lab explores the synthesis of quantum dot thin film solar cells"","" and I don`t claim to understand most of it"","" but I am fascinated"","" and I am learning.","Mastery Experience, Event Triggered, Physiological/Emotional, Cost (Emotional)",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
"1. Keen interest in the history and development of sciences"","" especially in the 19th and 20th century.2. Excellent high school physics teachers3. Wonderful physics department in college","Intrinsic Value, Vicarious Experience, Intrinsic (Social)",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
"I enjoyed basic introductions to physics in 8th grade"","" but never as much as chemistry. I hated physics in 12th grade because I didn`t like my teacher and felt very uncomfortable in the class (I was one of three girls and there was borderline sexual harassment taking place). In College"","" I started studying math"","" and almost everyone who studied math also studied physics. I really liked the culture of the Math-Physics department at my College-the professors were accessible"","" most students were very intelligent"","" driven"","" and friendly"","" and half or more than half of the students were girls. I`m thinking of becoming a teacher"","" and my school requires two teaching fields"","" so I chose to major in Math-Physics so I could become qualified to teach both Math and Physics.","Physiological/Emotional, Cost (Emotional), Intrinsic (Social), Utility Value",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,
